hour,avg_fare
0,23.865412638543642
1,24.4921800894075
2,24.49984685546235
3,25.233266249530082
4,28.820743076362138
5,29.966102211429924
6,28.76138053578061
7,27.41135463485593
8,25.634434998255486
9,24.380083924475176
10,24.427424853632946
11,24.908024745993778
12,25.334985416662043
13,25.7982749229323
14,26.544591038918984
15,27.000161154317297
16,26.380103034097512
17,25.63684583148007
18,24.857997712703522
19,23.695979136621954
20,24.967047000522157
21,25.711670369506948
22,25.103835075986254
23,24.096435309061516
