Zone,weekday,hour,rides,avg_trip_miles,avg_fare,avg_driver_pay
Allerton/Pelham Gardens,Friday,0,128,4.169484375,16.1828125,14.089296875
Allerton/Pelham Gardens,Friday,1,83,4.566951807228916,17.466506024096386,15.438554216867471
Allerton/Pelham Gardens,Friday,2,34,5.604205882352941,19.518823529411765,16.972941176470588
Allerton/Pelham Gardens,Friday,3,53,5.139622641509433,19.659622641509436,16.104150943396228
Allerton/Pelham Gardens,Friday,4,97,5.450948453608247,22.244226804123713,16.948556701030927
Allerton/Pelham Gardens,Friday,5,185,5.6786810810810815,22.491243243243243,17.82535135135135
Allerton/Pelham Gardens,Friday,6,417,4.37826139088729,21.151127098321343,16.96853717026379
Allerton/Pelham Gardens,Friday,7,635,4.150292913385827,25.891433070866142,20.02116535433071
Allerton/Pelham Gardens,Friday,8,722,3.7316551246537397,19.498379501385042,16.54224376731302
Allerton/Pelham Gardens,Friday,9,570,3.9336561403508776,18.158491228070176,15.643333333333334
Allerton/Pelham Gardens,Friday,10,447,3.6775078299776287,17.030917225950784,14.576286353467562
Allerton/Pelham Gardens,Friday,11,395,3.422625316455696,16.172506329113926,13.608025316455697
Allerton/Pelham Gardens,Friday,12,440,3.5852363636363633,16.423386363636364,14.321409090909091
Allerton/Pelham Gardens,Friday,13,442,3.636217194570136,17.50943438914027,15.3029185520362
Allerton/Pelham Gardens,Friday,14,622,3.229107717041801,17.486189710610933,15.1840192926045
Allerton/Pelham Gardens,Friday,15,630,3.3675539682539686,18.69401587301587,16.51152380952381
Allerton/Pelham Gardens,Friday,16,535,3.0569943925233645,16.916429906542056,15.143084112149532
Allerton/Pelham Gardens,Friday,17,619,3.2568416801292406,17.2940549273021,15.616575121163166
Allerton/Pelham Gardens,Friday,18,486,3.90398353909465,18.360246913580248,16.297818930041153
Allerton/Pelham Gardens,Friday,19,488,3.8262274590163936,16.541331967213114,15.015040983606557
Allerton/Pelham Gardens,Friday,20,396,4.130936868686869,17.032020202020203,15.246590909090909
Allerton/Pelham Gardens,Friday,21,380,4.233497368421053,16.838605263157895,14.99436842105263
Allerton/Pelham Gardens,Friday,22,398,4.760630653266332,18.288442211055276,16.367713567839196
Allerton/Pelham Gardens,Friday,23,372,4.049451612903225,16.263629032258063,14.353548387096776
Allerton/Pelham Gardens,Monday,0,98,3.8263061224489796,17.31755102040816,15.579489795918366
Allerton/Pelham Gardens,Monday,1,85,4.900270588235294,17.433176470588233,16.281058823529413
