pickup_hour,trips,avg_fare,avg_trip_miles,avg_driver_pay,demand_level
0,610942,24.663691381505934,4.650747020175402,18.018606234307022,Low
1,435272,25.285905135179842,4.604089334944586,18.398402378283006,Low
2,321675,25.35780188078029,4.812025242869356,18.693102043988496,Low
3,267517,26.104835318876933,5.510166666043654,19.093451855396104,Low
4,283404,29.771718924221254,6.3851008172079435,20.91910985730618,Low
5,331544,31.157936804767996,6.588459694640832,21.810145380402,Low
6,492685,30.129176065843286,5.7331892994509674,21.205876249530636,Low
7,734977,28.67505915151086,4.615840595011816,20.198554703072343,Low
8,898483,26.844759388881034,4.099350990502881,19.104653265559836,High
9,839448,25.388784617987056,4.196326452621246,18.23660012293793,Medium
10,770933,25.223918472811516,4.297895481189675,18.112540207774217,Medium
11,750522,25.713312947521857,4.351242480566858,18.42814092058594,Medium
12,769552,26.297956317441834,4.413572574692808,18.816021594382185,Medium
13,805706,26.796225608348454,4.400901095436797,19.129699207899655,Medium
14,857907,27.631704683607897,4.385483449837803,19.780288492808662,Medium
15,884904,28.23751729001112,4.328295105457767,20.172923334056577,High
16,908898,27.70253586210994,4.186491078206795,19.892815365420542,High
17,1000183,26.919155814485947,3.926623100972522,19.315504602657715,High
18,1074118,25.958266186769052,3.8825080372919922,18.485105426033265,High
19,1025061,24.65233448545989,4.037395864246128,17.796305634493947,High
20,951110,25.92917504810169,4.48714866944938,18.525933162305094,High
21,910530,26.905987359010687,4.692932380042393,19.01140275443972,High
22,872692,26.340418475246707,4.708828202848198,18.873845457503908,Medium
23,775263,25.023554110024598,4.651074861047154,18.19119409800287,Medium
